Tweet,Location,Coordinates,Timestamp,Username,Sentiment
I'm uncertain about the local community involvement in the Tren Maya and its potential for change.,Cancun,"(21.1619, -86.8515)",05/09/2023 10:47,kellystephenson,Negative
I'm critical of the economic impact of the Tren Maya and the challenges it faces.,Chichen Itza,"(20.6843, -88.5678)",23/08/2023 10:40,stephen07,Negative
I'm fascinated by the tourism potential of the Tren Maya and what it means for the future.,Merida,"(20.9674, -89.5926)",09/02/2023 00:51,kenneth16,Positive
I'm doubtful about the environmental sustainability of the Tren Maya and the challenges it faces.,Chichen Itza,"(20.6843, -88.5678)",19/03/2023 16:59,villarrealderek,Negative
I'm supportive of the tourism potential of the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",04/03/2023 01:45,kristin00,Positive
I'm optimistic about the local community involvement in the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",13/02/2023 23:33,kathrynbrown,Positive
I'm curious about how the funding and investments for the Tren Maya and its possible global significance.,Merida,"(20.9674, -89.5926)",06/01/2023 07:12,agriffith,Positive
I'm excited for the environmental sustainability of the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",11/03/2023 21:00,vchambers,Positive
I'm critical of the local community involvement in the Tren Maya and its influence on local culture.,Campeche,"(19.8454, -90.5237)",05/01/2023 23:01,lauraanderson,Negative
I'm impressed by the funding and investments for the Tren Maya and its potential for change.,Chichen Itza,"(20.6843, -88.5678)",15/02/2023 16:40,iwagner,Positive
I'm doubtful about the cultural significance of the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",10/09/2023 05:07,velezalyssa,Neutral
I'm curious about how the local community involvement in the Tren Maya and its possible global significance.,Merida,"(20.9674, -89.5926)",17/06/2023 04:08,graveserik,Positive
I'm impressed by the design and route of the Tren Maya and its effects on the region.,Bacalar,"(18.6783, -88.3926)",09/04/2023 17:13,ldean,Positive
I'm fascinated by the local community involvement in the Tren Maya and the opportunities it presents.,Valladolid,"(20.6886, -88.2025)",17/07/2023 23:26,mooreolivia,Positive
I wonder about the environmental sustainability of the Tren Maya and its effects on the region.,Tulum,"(20.2114, -87.4654)",23/04/2023 07:55,annette98,Neutral
I'm critical of the tourism potential of the Tren Maya and what it means for the future.,Chichen Itza,"(20.6843, -88.5678)",12/02/2023 15:21,toddsantos,Negative
I have concerns regarding the construction process of the Tren Maya and its effects on the region.,Playa del Carmen,"(20.6296, -87.0739)",26/06/2023 03:17,patrickreed,Neutral
I wonder about the design and route of the Tren Maya and how it might change travel.,Chichen Itza,"(20.6843, -88.5678)",04/08/2023 23:46,annmays,Neutral
I wonder about the tourism potential of the Tren Maya and its impact on local wildlife.,Campeche,"(19.8454, -90.5237)",20/04/2023 03:43,isaiah48,Neutral
I'm doubtful about the local community involvement in the Tren Maya and its effects on the region.,Cancun,"(21.1619, -86.8515)",11/05/2023 08:34,garciajohnny,Negative
I'm curious about how the economic impact of the Tren Maya and what it means for the future.,Bacalar,"(18.6783, -88.3926)",12/09/2023 23:57,smartinez,Positive
I wonder about the funding and investments for the Tren Maya and the opportunities it presents.,Valladolid,"(20.6886, -88.2025)",30/11/2023 01:03,daniellestark,Positive
I'm cautious about the design and route of the Tren Maya and the opportunities it presents.,Campeche,"(19.8454, -90.5237)",11/07/2023 12:26,fulleramy,Positive
I wonder about the local community involvement in the Tren Maya and its potential for change.,Tulum,"(20.2114, -87.4654)",12/01/2023 10:28,bfisher,Neutral
I'm curious about how the tourism potential of the Tren Maya and the opportunities it presents.,Campeche,"(19.8454, -90.5237)",08/05/2023 23:32,ajordan,Positive
I'm doubtful about the cultural significance of the Tren Maya and its possible global significance.,Valladolid,"(20.6886, -88.2025)",08/01/2023 23:14,ashley70,Positive
I'm fascinated by the tourism potential of the Tren Maya and its impact on local wildlife.,Playa del Carmen,"(20.6296, -87.0739)",22/05/2023 20:45,melody50,Positive
I'm critical of the environmental sustainability of the Tren Maya and how it might change travel.,Valladolid,"(20.6886, -88.2025)",22/07/2023 19:01,travisbeasley,Negative
I'm optimistic about the funding and investments for the Tren Maya and its influence on local culture.,Playa del Carmen,"(20.6296, -87.0739)",17/03/2023 14:55,sara22,Positive
I'm critical of the environmental sustainability of the Tren Maya and its impact on local wildlife.,Valladolid,"(20.6886, -88.2025)",10/08/2023 12:10,stevenwoods,Negative
I'm curious about how the long-term benefits of the Tren Maya and its role in Mexico's development.,Campeche,"(19.8454, -90.5237)",01/10/2023 09:58,qlopez,Positive
I'm critical of the economic impact of the Tren Maya and the challenges it faces.,Tulum,"(20.2114, -87.4654)",31/07/2023 18:19,katherine20,Negative
I'm cautious about the environmental sustainability of the Tren Maya and its influence on local culture.,Valladolid,"(20.6886, -88.2025)",03/11/2023 05:10,walkerlawrence,Negative
I have concerns regarding the funding and investments for the Tren Maya and what it means for the future.,Tulum,"(20.2114, -87.4654)",16/03/2023 17:01,glee,Neutral
I have concerns regarding the design and route of the Tren Maya and the challenges it faces.,Chichen Itza,"(20.6843, -88.5678)",07/03/2023 22:12,zbrown,Neutral
I'm supportive of the environmental sustainability of the Tren Maya and how it might change travel.,Playa del Carmen,"(20.6296, -87.0739)",23/04/2023 17:56,brandon82,Positive
I'm critical of the funding and investments for the Tren Maya and the challenges it faces.,Merida,"(20.9674, -89.5926)",10/10/2023 16:09,washingtonlinda,Negative
I'm fascinated by the local community involvement in the Tren Maya and its impact on local wildlife.,Campeche,"(19.8454, -90.5237)",20/07/2023 19:05,kelly72,Positive
I'm fascinated by the environmental sustainability of the Tren Maya and its potential for change.,Chichen Itza,"(20.6843, -88.5678)",19/01/2023 21:15,davissamantha,Positive
I'm doubtful about the local community involvement in the Tren Maya and its effects on the region.,Merida,"(20.9674, -89.5926)",18/04/2023 08:39,ykoch,Negative
I wonder about the long-term benefits of the Tren Maya and its potential for change.,Playa del Carmen,"(20.6296, -87.0739)",23/06/2023 03:12,michael02,Positive
I'm curious about how the tourism potential of the Tren Maya and its influence on local culture.,Playa del Carmen,"(20.6296, -87.0739)",01/11/2023 12:01,sarah59,Positive
I'm supportive of the cultural significance of the Tren Maya and how it might change travel.,Chichen Itza,"(20.6843, -88.5678)",19/11/2023 17:40,dillon38,Positive
I'm supportive of the long-term benefits of the Tren Maya and its potential for change.,Bacalar,"(18.6783, -88.3926)",07/02/2023 03:04,lewiskimberly,Positive
I'm curious about how the local community involvement in the Tren Maya and what it means for the future.,Cancun,"(21.1619, -86.8515)",09/10/2023 22:10,kevin62,Positive
I'm doubtful about the tourism potential of the Tren Maya and how it might change travel.,Playa del Carmen,"(20.6296, -87.0739)",09/05/2023 02:09,jonathon92,Negative
I'm cautious about the construction process of the Tren Maya and its impact on local wildlife.,Valladolid,"(20.6886, -88.2025)",06/03/2023 22:49,erinlong,Negative
I'm doubtful about the long-term benefits of the Tren Maya and what it means for the future.,Chichen Itza,"(20.6843, -88.5678)",15/01/2023 03:11,jeffrey14,Neutral
I'm impressed by the cultural significance of the Tren Maya and its effects on the region.,Campeche,"(19.8454, -90.5237)",17/02/2023 12:26,qmorgan,Positive
I'm critical of the construction process of the Tren Maya and what it means for the future.,Merida,"(20.9674, -89.5926)",14/01/2023 00:19,matthew39,Negative
I wonder about the long-term benefits of the Tren Maya and what it means for the future.,Valladolid,"(20.6886, -88.2025)",15/11/2023 15:21,richardbass,Positive
I'm optimistic about the economic impact of the Tren Maya and the opportunities it presents.,Tulum,"(20.2114, -87.4654)",15/07/2023 08:15,benjaminsmith,Positive
I'm curious about how the funding and investments for the Tren Maya and what it means for the future.,Cancun,"(21.1619, -86.8515)",11/08/2023 04:44,csanchez,Positive
I'm fascinated by the environmental sustainability of the Tren Maya and the challenges it faces.,Tulum,"(20.2114, -87.4654)",16/05/2023 01:36,lisakey,Positive
I'm uncertain about the construction process of the Tren Maya and the opportunities it presents.,Tulum,"(20.2114, -87.4654)",20/09/2023 02:39,timothyromero,Positive
I'm supportive of the construction process of the Tren Maya and its effects on the region.,Tulum,"(20.2114, -87.4654)",23/07/2023 00:48,briansanchez,Positive
I'm doubtful about the cultural significance of the Tren Maya and its effects on the region.,Tulum,"(20.2114, -87.4654)",18/11/2023 07:58,douglas14,Neutral
I'm supportive of the environmental sustainability of the Tren Maya and what it means for the future.,Chichen Itza,"(20.6843, -88.5678)",17/11/2023 23:02,rebeccathompson,Positive
I have concerns regarding the cultural significance of the Tren Maya and its potential for change.,Tulum,"(20.2114, -87.4654)",08/05/2023 17:37,nicole99,Positive
I'm doubtful about the construction process of the Tren Maya and its influence on local culture.,Cancun,"(21.1619, -86.8515)",14/06/2023 19:41,burkeseth,Negative
I'm supportive of the economic impact of the Tren Maya and the challenges it faces.,Campeche,"(19.8454, -90.5237)",27/10/2023 21:56,vware,Positive
I'm cautious about the funding and investments for the Tren Maya and its effects on the region.,Tulum,"(20.2114, -87.4654)",18/02/2023 18:48,krobinson,Negative
I'm doubtful about the funding and investments for the Tren Maya and how it might change travel.,Merida,"(20.9674, -89.5926)",28/07/2023 11:57,jgonzalez,Negative
I'm fascinated by the design and route of the Tren Maya and its influence on local culture.,Playa del Carmen,"(20.6296, -87.0739)",07/07/2023 14:31,trevor75,Positive
I'm supportive of the environmental sustainability of the Tren Maya and the challenges it faces.,Bacalar,"(18.6783, -88.3926)",22/08/2023 04:19,laura19,Positive
I'm cautious about the construction process of the Tren Maya and its possible global significance.,Cancun,"(21.1619, -86.8515)",29/03/2023 20:25,katrinamartinez,Positive
I'm excited for the long-term benefits of the Tren Maya and how it might change travel.,Chichen Itza,"(20.6843, -88.5678)",20/09/2023 08:50,gsmith,Positive
I have concerns regarding the design and route of the Tren Maya and its impact on local wildlife.,Merida,"(20.9674, -89.5926)",15/06/2023 17:20,anthonysawyer,Neutral
I'm cautious about the cultural significance of the Tren Maya and its impact on local wildlife.,Cancun,"(21.1619, -86.8515)",11/07/2023 22:23,perezpeter,Positive
I'm fascinated by the cultural significance of the Tren Maya and what it means for the future.,Playa del Carmen,"(20.6296, -87.0739)",24/02/2023 01:16,nwade,Positive
I'm cautious about the environmental sustainability of the Tren Maya and the challenges it faces.,Campeche,"(19.8454, -90.5237)",16/10/2023 12:10,uedwards,Neutral
I'm impressed by the construction process of the Tren Maya and its possible global significance.,Cancun,"(21.1619, -86.8515)",29/08/2023 14:14,jenniferreed,Positive
I'm curious about how the construction process of the Tren Maya and its role in Mexico's development.,Bacalar,"(18.6783, -88.3926)",22/02/2023 11:52,qjoyce,Positive
I'm doubtful about the tourism potential of the Tren Maya and its possible global significance.,Chichen Itza,"(20.6843, -88.5678)",04/03/2023 19:48,rachel89,Neutral
I'm excited for the funding and investments for the Tren Maya and its effects on the region.,Chichen Itza,"(20.6843, -88.5678)",25/07/2023 11:53,nstrong,Positive
I'm cautious about the tourism potential of the Tren Maya and its impact on local wildlife.,Cancun,"(21.1619, -86.8515)",13/10/2023 19:55,wardtroy,Negative
I have concerns regarding the tourism potential of the Tren Maya and how it might change travel.,Cancun,"(21.1619, -86.8515)",01/02/2023 06:08,aclark,Neutral
I'm fascinated by the funding and investments for the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",29/07/2023 14:05,brucelaura,Positive
I'm critical of the environmental sustainability of the Tren Maya and the challenges it faces.,Cancun,"(21.1619, -86.8515)",14/01/2023 07:10,bryanmoreno,Negative
I'm supportive of the economic impact of the Tren Maya and its effects on the region.,Cancun,"(21.1619, -86.8515)",22/11/2023 19:34,mrodriguez,Positive
I'm curious about how the economic impact of the Tren Maya and its potential for change.,Bacalar,"(18.6783, -88.3926)",04/04/2023 20:59,stephanie64,Positive
I'm doubtful about the cultural significance of the Tren Maya and what it means for the future.,Chichen Itza,"(20.6843, -88.5678)",17/01/2023 21:57,william88,Neutral
I'm optimistic about the long-term benefits of the Tren Maya and its impact on local wildlife.,Tulum,"(20.2114, -87.4654)",28/06/2023 02:40,johnmoore,Positive
I'm uncertain about the design and route of the Tren Maya and its impact on local wildlife.,Tulum,"(20.2114, -87.4654)",16/04/2023 18:07,qmiller,Negative
I'm doubtful about the local community involvement in the Tren Maya and its potential for change.,Valladolid,"(20.6886, -88.2025)",26/03/2023 01:32,renee67,Negative
I'm cautious about the long-term benefits of the Tren Maya and the opportunities it presents.,Tulum,"(20.2114, -87.4654)",08/07/2023 05:55,schultzjohn,Positive
I'm excited for the long-term benefits of the Tren Maya and its influence on local culture.,Valladolid,"(20.6886, -88.2025)",06/03/2023 11:05,joel47,Positive
I'm uncertain about the tourism potential of the Tren Maya and its impact on local wildlife.,Tulum,"(20.2114, -87.4654)",17/03/2023 09:58,christyfuller,Negative
I'm excited for the tourism potential of the Tren Maya and its influence on local culture.,Merida,"(20.9674, -89.5926)",03/03/2023 06:21,mike21,Positive
I'm doubtful about the design and route of the Tren Maya and its possible global significance.,Playa del Carmen,"(20.6296, -87.0739)",26/07/2023 08:33,gordonalexander,Neutral
I'm impressed by the local community involvement in the Tren Maya and its impact on local wildlife.,Merida,"(20.9674, -89.5926)",05/02/2023 19:35,jcraig,Positive
I'm excited for the funding and investments for the Tren Maya and what it means for the future.,Bacalar,"(18.6783, -88.3926)",02/08/2023 13:12,april92,Positive
I'm supportive of the construction process of the Tren Maya and its impact on local wildlife.,Cancun,"(21.1619, -86.8515)",08/10/2023 00:49,scottjulia,Positive
I wonder about the local community involvement in the Tren Maya and its influence on local culture.,Merida,"(20.9674, -89.5926)",30/10/2023 16:37,kristen44,Neutral
I'm fascinated by the local community involvement in the Tren Maya and the opportunities it presents.,Tulum,"(20.2114, -87.4654)",04/02/2023 03:41,juliamartin,Positive
I'm uncertain about the cultural significance of the Tren Maya and its potential for change.,Chichen Itza,"(20.6843, -88.5678)",28/10/2023 22:06,epeterson,Neutral
I'm optimistic about the local community involvement in the Tren Maya and its possible global significance.,Playa del Carmen,"(20.6296, -87.0739)",21/07/2023 01:03,stephanie18,Positive
I'm fascinated by the funding and investments for the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",27/06/2023 21:43,deanna30,Positive
I'm uncertain about the economic impact of the Tren Maya and its impact on local wildlife.,Merida,"(20.9674, -89.5926)",13/02/2023 02:07,sabrina55,Negative
I'm critical of the construction process of the Tren Maya and its impact on local wildlife.,Campeche,"(19.8454, -90.5237)",09/06/2023 22:39,hoodamy,Negative
I'm optimistic about the economic impact of the Tren Maya and its effects on the region.,Cancun,"(21.1619, -86.8515)",15/07/2023 01:47,jessicaweber,Positive
I'm supportive of the tourism potential of the Tren Maya and the challenges it faces.,Valladolid,"(20.6886, -88.2025)",06/02/2023 13:33,lanejoseph,Positive
I'm fascinated by the tourism potential of the Tren Maya and its possible global significance.,Merida,"(20.9674, -89.5926)",19/06/2023 01:13,wevans,Positive
I'm optimistic about the tourism potential of the Tren Maya and its effects on the region.,Cancun,"(21.1619, -86.8515)",24/09/2023 02:32,vramos,Positive
I'm curious about how the tourism potential of the Tren Maya and its potential for change.,Bacalar,"(18.6783, -88.3926)",23/04/2023 23:45,dawnhernandez,Positive
I'm excited for the environmental sustainability of the Tren Maya and how it might change travel.,Chichen Itza,"(20.6843, -88.5678)",13/06/2023 07:25,bbass,Positive
I'm curious about how the funding and investments for the Tren Maya and its possible global significance.,Cancun,"(21.1619, -86.8515)",27/02/2023 11:45,yburke,Positive
I'm critical of the local community involvement in the Tren Maya and its influence on local culture.,Tulum,"(20.2114, -87.4654)",04/08/2023 00:41,jenniferschmidt,Negative
I'm critical of the construction process of the Tren Maya and its influence on local culture.,Merida,"(20.9674, -89.5926)",13/02/2023 04:05,jshepard,Negative
I'm cautious about the environmental sustainability of the Tren Maya and its potential for change.,Bacalar,"(18.6783, -88.3926)",10/11/2023 14:03,jennifer84,Negative
I'm optimistic about the long-term benefits of the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",11/01/2023 21:32,tamara22,Positive
I'm fascinated by the economic impact of the Tren Maya and how it might change travel.,Chichen Itza,"(20.6843, -88.5678)",14/01/2023 03:58,ylopez,Positive
I wonder about the cultural significance of the Tren Maya and its potential for change.,Chichen Itza,"(20.6843, -88.5678)",03/01/2023 11:17,littlelauren,Positive
I'm fascinated by the economic impact of the Tren Maya and what it means for the future.,Campeche,"(19.8454, -90.5237)",11/02/2023 01:58,saunderskevin,Positive
I'm excited for the design and route of the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",13/11/2023 09:20,mcruz,Positive
I'm impressed by the environmental sustainability of the Tren Maya and its possible global significance.,Merida,"(20.9674, -89.5926)",05/01/2023 01:34,mcbriderickey,Positive
I'm uncertain about the local community involvement in the Tren Maya and how it might change travel.,Cancun,"(21.1619, -86.8515)",14/01/2023 15:39,kristicampbell,Negative
I have concerns regarding the construction process of the Tren Maya and its influence on local culture.,Cancun,"(21.1619, -86.8515)",05/07/2023 14:21,conradnicholas,Neutral
I'm optimistic about the construction process of the Tren Maya and its impact on local wildlife.,Valladolid,"(20.6886, -88.2025)",15/06/2023 00:28,michaelcochran,Positive
I'm curious about how the funding and investments for the Tren Maya and the opportunities it presents.,Merida,"(20.9674, -89.5926)",06/03/2023 19:53,wjohnson,Positive
I'm doubtful about the tourism potential of the Tren Maya and its impact on local wildlife.,Campeche,"(19.8454, -90.5237)",17/01/2023 10:59,brianthompson,Negative
I'm cautious about the tourism potential of the Tren Maya and its potential for change.,Tulum,"(20.2114, -87.4654)",03/05/2023 10:50,munozlauren,Negative
I'm critical of the cultural significance of the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",08/04/2023 03:01,zlogan,Positive
I have concerns regarding the economic impact of the Tren Maya and the challenges it faces.,Merida,"(20.9674, -89.5926)",15/02/2023 15:34,ajohnson,Neutral
I have concerns regarding the design and route of the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",13/02/2023 15:40,millerjustin,Neutral
I'm supportive of the construction process of the Tren Maya and the opportunities it presents.,Merida,"(20.9674, -89.5926)",21/04/2023 12:55,michellemyers,Positive
I'm doubtful about the environmental sustainability of the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",04/09/2023 06:19,hnichols,Neutral
I'm impressed by the cultural significance of the Tren Maya and what it means for the future.,Valladolid,"(20.6886, -88.2025)",18/10/2023 14:23,xcervantes,Positive
I'm doubtful about the tourism potential of the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",11/04/2023 21:33,hharris,Negative
I'm impressed by the funding and investments for the Tren Maya and how it might change travel.,Bacalar,"(18.6783, -88.3926)",22/05/2023 03:50,ronaldgeorge,Positive
I wonder about the cultural significance of the Tren Maya and its effects on the region.,Tulum,"(20.2114, -87.4654)",17/03/2023 12:07,brett49,Positive
I'm doubtful about the long-term benefits of the Tren Maya and how it might change travel.,Valladolid,"(20.6886, -88.2025)",01/11/2023 12:33,eric92,Neutral
I'm critical of the economic impact of the Tren Maya and the challenges it faces.,Valladolid,"(20.6886, -88.2025)",11/05/2023 14:29,matthew96,Negative
I'm uncertain about the cultural significance of the Tren Maya and the challenges it faces.,Merida,"(20.9674, -89.5926)",02/10/2023 19:24,stephanienorris,Neutral
I'm excited for the economic impact of the Tren Maya and the challenges it faces.,Tulum,"(20.2114, -87.4654)",06/06/2023 01:44,cainerica,Positive
I'm optimistic about the tourism potential of the Tren Maya and its influence on local culture.,Tulum,"(20.2114, -87.4654)",11/07/2023 08:21,schneidermary,Positive
I'm curious about how the construction process of the Tren Maya and the opportunities it presents.,Playa del Carmen,"(20.6296, -87.0739)",15/07/2023 15:44,akelley,Positive
I'm fascinated by the environmental sustainability of the Tren Maya and the opportunities it presents.,Valladolid,"(20.6886, -88.2025)",29/10/2023 11:48,escott,Positive
